Student_ID,Age,Gender,Study_Hours,Attendance,Assignments_Score,Midterm_Score,Previous_Score,Sleep_Hours,Internet_Access,Extracurricular_Activities,Final_Score
STU0313,20,Female,16.8,72.9,50.3,57.3,54.3,8.1,Yes,Yes,63.2
STU0314,23,Male,12.7,63.8,46.5,55.2,72.8,4.2,Yes,Yes,58.8
STU0315,19,Female,16.6,76.5,64.3,61.5,69.8,6.9,Yes,Yes,68.3
STU0316,24,Female,12.9,71.8,51.4,51.3,67.5,6.2,Yes,No,51.7
STU0317,19,Male,18.7,100.0,38.2,71.5,50.1,7.6,Yes,Yes,59.2
STU0318,17,Male,12.8,77.5,41.1,62.7,62.3,7.6,Yes,No,46.4
STU0319,23,Female,17.3,68.0,34.1,37.2,32.3,6.1,Yes,No,49.7
STU0320,22,Female,14.8,71.8,32.9,48.3,67.7,6.1,Yes,Yes,52.6
STU0321,24,Male,21.8,92.1,54.2,72.8,86.4,6.9,No,Yes,62.6
STU0322,21,Male,14.7,92.9,31.0,54.7,42.9,5.8,Yes,Yes,56.6
STU0323,20,Male,4.4,52.1,11.6,42.7,56.2,8.1,Yes,No,30.9
STU0324,18,Male,22.6,69.8,56.6,71.8,69.9,6.5,No,No,57.8
STU0325,22,Female,9.6,85.5,43.5,70.6,83.8,3.2,Yes,No,54.8
STU0326,22,Male,11.1,75.3,23.8,58.8,58.3,6.5,Yes,No,50.7
STU0327,19,Male,11.4,65.6,39.4,50.4,54.6,5.6,Yes,Yes,46.3
STU0328,23,Female,23.2,89.8,49.0,43.2,35.5,4.9,Yes,No,41.1
STU0329,24,Male,2.2,41.3,31.2,40.3,66.6,5.4,No,No,31.6
STU0330,24,Male,33.8,97.2,77.9,95.9,95.6,6.5,Yes,Yes,90.1
STU0331,17,Female,21.3,86.1,59.1,65.6,69.2,,No,No,57.3
STU0332,17,Female,16.3,85.4,51.7,64.2,64.7,7.4,Yes,No,64.0
STU0333,20,Male,14.7,68.0,48.7,55.4,69.8,6.2,Yes,No,47.9
STU0334,19,Female,16.7,79.1,40.2,52.2,64.8,7.6,Yes,No,54.2
STU0335,22,Male,18.1,72.5,46.0,52.4,52.8,6.4,Yes,No,47.5
STU0336,24,Male,18.9,82.8,64.1,69.5,77.3,6.1,Yes,No,68.1
STU0337,21,Female,18.3,73.0,45.5,55.9,68.4,5.5,No,Yes,49.8
STU0338,19,Male,15.5,73.8,62.3,55.9,65.3,4.7,Yes,Yes,59.1
STU0339,20,Male,13.8,67.2,33.2,41.5,50.4,6.5,No,No,43.9
STU0340,20,Male,14.1,80.7,51.7,74.9,84.6,7.2,Yes,Yes,69.4
STU0341,19,Male,13.8,82.1,41.9,60.8,75.0,,No,Yes,55.3
STU0342,20,Male,21.8,82.1,51.7,69.8,56.7,6.5,Yes,Yes,55.5
STU0343,19,Male,18.6,80.7,41.3,78.5,80.0,5.8,Yes,Yes,62.6
STU0344,18,Male,0.0,48.4,18.6,37.4,57.5,7.8,No,No,27.3
STU0345,19,Male,18.9,78.4,36.2,48.4,53.3,5.3,Yes,No,46.0
STU0346,23,Female,16.2,77.4,42.7,39.0,53.6,,Yes,Yes,48.4
STU0347,19,Female,14.9,97.3,41.9,40.6,38.4,5.7,Yes,Yes,44.3
STU0348,20,Female,12.7,65.0,49.8,47.0,72.1,6.0,Yes,Yes,42.5
STU0349,24,Female,21.7,95.6,23.2,64.0,37.5,5.1,No,No,40.6
STU0350,23,Male,20.7,90.7,60.8,57.4,46.6,6.3,Yes,No,58.5
STU0351,20,Male,10.4,73.6,28.9,42.9,33.9,8.3,Yes,Yes,35.0
STU0352,17,Female,17.4,93.3,41.1,47.3,63.7,7.7,Yes,No,56.3
STU0353,17,Female,9.2,73.1,37.8,43.8,62.7,8.3,Yes,No,57.1
STU0354,24,Female,6.7,70.5,33.9,55.1,60.1,7.7,Yes,No,53.4
STU0355,24,Male,11.2,71.9,28.5,49.2,49.4,5.6,Yes,No,50.9
STU0356,23,Male,20.2,92.0,45.8,55.9,47.4,6.6,Yes,Yes,58.3
STU0357,18,Male,20.7,91.6,49.8,72.2,72.0,6.0,Yes,No,68.9
STU0358,24,Male,18.1,74.9,42.1,67.0,56.7,8.7,Yes,No,50.2
STU0359,17,Female,19.4,70.7,46.6,59.6,69.7,5.4,Yes,No,50.9
STU0360,19,Female,18.1,78.3,31.8,54.6,51.7,8.2,Yes,No,36.1
STU0361,20,Male,11.2,65.9,42.2,55.3,67.7,8.2,Yes,No,56.9
STU0362,17,Female,17.6,78.8,60.5,85.5,84.5,9.4,Yes,No,74.2
STU0363,17,Female,19.8,91.7,58.4,53.8,73.8,6.5,Yes,Yes,60.7
STU0364,18,Male,19.5,77.8,54.5,62.9,58.8,7.9,Yes,No,56.8
STU0365,23,Male,22.1,84.0,57.8,65.0,68.9,10.0,Yes,No,56.2
STU0366,23,Male,19.2,81.6,44.4,64.0,61.4,6.2,Yes,No,58.1
STU0367,22,Male,17.1,85.6,54.2,56.8,65.1,5.0,Yes,Yes,63.0
STU0368,18,Male,21.4,65.6,40.0,56.5,60.1,4.6,Yes,Yes,41.2
STU0369,19,Male,14.8,,36.4,60.3,62.5,7.9,Yes,Yes,55.7
STU0370,23,Male,9.7,72.4,31.7,76.6,68.2,4.6,Yes,No,49.4
STU0371,20,Male,14.0,85.0,46.2,58.2,50.1,6.5,Yes,No,53.5
STU0372,24,Female,10.5,67.6,40.6,40.0,49.8,7.6,No,Yes,43.9
STU0373,18,Male,10.9,57.0,35.3,38.0,44.2,7.2,Yes,No,39.3
STU0374,24,Female,14.1,80.5,42.6,44.2,41.0,7.6,Yes,No,47.6
STU0375,17,Male,10.2,66.2,24.5,31.4,46.7,7.3,Yes,No,37.9
STU0376,20,Female,13.2,65.0,46.2,52.5,67.4,8.7,Yes,No,55.6
STU0377,20,Male,3.6,59.0,24.2,45.4,51.6,5.8,Yes,No,39.4
STU0378,17,Male,16.3,76.4,56.2,53.1,72.7,6.1,No,No,52.8
STU0379,18,Female,15.0,71.7,44.0,64.1,65.5,6.0,Yes,Yes,48.7
STU0380,17,Female,10.1,53.5,23.7,39.1,35.5,8.1,Yes,No,33.1
STU0381,24,Female,19.0,88.0,58.0,62.4,74.8,8.2,Yes,No,67.9
STU0382,22,Male,20.6,92.9,63.7,69.8,77.2,7.6,Yes,No,68.9
STU0383,20,Male,5.4,71.1,21.4,54.9,50.1,8.5,Yes,No,45.6
STU0384,21,Female,10.4,62.4,41.1,59.3,71.3,5.5,Yes,No,58.2
STU0385,21,Female,10.4,69.8,25.4,47.5,52.2,9.2,Yes,Yes,48.8
STU0386,24,Female,9.4,70.2,18.3,51.7,66.5,9.0,Yes,No,44.9
STU0387,19,Female,20.0,86.8,45.0,55.4,46.0,8.0,Yes,Yes,52.9
STU0388,23,Male,13.8,80.6,37.4,42.4,38.1,9.3,Yes,Yes,32.2
STU0389,17,Female,13.4,68.9,42.6,37.5,59.3,4.8,Yes,No,43.2
STU0390,17,Male,3.0,63.9,13.4,60.6,63.1,6.3,Yes,No,40.5
STU0391,19,Male,18.8,84.4,44.3,60.5,59.0,6.0,Yes,Yes,58.6
STU0392,19,Male,7.6,80.0,10.6,48.8,47.2,7.9,Yes,Yes,42.3
STU0393,24,Male,15.4,82.5,53.8,56.4,59.0,5.6,Yes,No,52.8
STU0394,24,Male,16.7,84.6,39.8,57.5,69.0,8.0,Yes,Yes,49.2
STU0395,19,Male,23.2,86.2,64.7,63.7,64.3,8.8,Yes,No,57.9
STU0396,20,Female,7.1,79.1,43.6,43.5,67.7,7.9,Yes,No,53.4
STU0397,24,Male,0.0,63.3,14.8,56.5,54.9,7.4,Yes,No,49.3
STU0398,22,Female,16.1,70.8,44.1,56.3,82.6,5.7,Yes,Yes,56.1
STU0399,24,Male,25.8,99.6,54.0,55.1,47.4,5.3,Yes,Yes,60.5
STU0400,17,Male,22.4,90.3,50.2,66.0,72.3,8.6,Yes,No,67.5
STU0401,24,Female,16.3,74.3,54.2,75.0,82.7,8.0,Yes,No,59.5
STU0402,20,Male,12.1,69.4,40.1,57.5,72.2,6.9,No,Yes,51.4
STU0403,19,Male,19.8,84.2,35.3,52.7,62.0,6.5,Yes,No,49.5
STU0404,17,Male,9.2,73.8,16.4,58.6,57.1,4.4,Yes,Yes,47.6
STU0405,24,Male,17.9,81.2,56.4,72.8,80.5,5.6,Yes,No,63.6
STU0406,20,Female,18.0,82.3,35.5,55.3,43.7,9.5,No,Yes,45.9
STU0407,22,Male,21.4,97.1,42.5,65.3,50.4,5.3,Yes,No,52.2
STU0408,24,Female,31.6,100.0,68.6,88.1,59.0,6.6,Yes,Yes,77.8
STU0409,20,Male,17.4,80.6,64.5,83.9,83.6,8.3,Yes,Yes,80.6
STU0410,22,Female,11.9,,41.0,54.6,70.7,5.4,Yes,Yes,48.7
STU0411,19,Female,14.8,68.1,36.0,60.4,50.5,7.2,Yes,Yes,49.1
STU0412,24,Female,4.4,68.0,33.6,49.6,60.3,8.2,No,No,41.5
STU0413,22,Male,10.8,86.4,25.0,57.0,55.8,7.0,Yes,No,53.7
STU0414,17,Male,12.5,72.1,39.2,38.5,54.4,10.0,Yes,Yes,41.9
STU0415,19,Male,11.9,66.3,51.1,58.6,79.7,4.8,Yes,Yes,40.4
STU0416,17,Female,15.9,72.3,43.1,42.3,44.4,8.4,Yes,No,52.9
STU0417,21,Female,10.1,62.4,32.7,67.8,89.1,6.8,Yes,No,58.6
STU0418,18,Female,21.7,77.6,52.0,75.3,77.4,8.0,Yes,No,55.4
STU0419,24,Male,15.0,73.5,44.3,49.9,81.4,7.6,Yes,Yes,54.9
STU0420,22,Female,14.9,65.2,42.7,51.6,58.1,6.0,Yes,Yes,57.4
STU0421,18,Female,13.0,74.5,45.2,62.9,62.8,7.3,Yes,No,62.3
STU0422,18,Male,15.9,84.7,49.3,49.4,43.5,4.6,Yes,Yes,54.2
STU0423,22,Male,20.0,74.7,43.8,62.0,57.1,7.8,No,No,49.2
STU0424,19,Female,9.8,82.9,37.2,61.9,72.4,7.4,Yes,Yes,58.1
STU0425,24,Female,11.1,76.2,56.8,66.4,84.4,7.8,No,No,56.4
STU0426,21,Female,13.2,82.7,38.2,48.8,48.4,8.4,Yes,Yes,55.7
STU0427,17,Male,6.9,62.4,42.6,38.2,59.5,7.5,Yes,No,40.9
STU0428,20,Female,10.1,77.9,40.0,46.2,62.7,7.2,Yes,No,46.4
STU0429,17,Male,12.1,64.6,23.5,48.5,44.1,5.9,Yes,No,44.8
STU0430,20,Male,20.2,89.4,44.2,68.4,73.9,6.1,Yes,Yes,62.4
STU0431,17,Male,16.6,79.6,30.0,53.7,54.1,8.5,Yes,No,55.9
STU0432,22,Female,16.2,82.2,50.3,55.6,62.1,8.9,Yes,No,51.7
STU0433,21,Female,20.1,72.7,57.9,54.8,58.2,6.7,Yes,No,55.3
STU0434,24,Female,14.2,68.4,53.8,57.2,53.2,7.1,No,No,42.8
STU0435,20,Male,17.3,83.9,54.4,58.7,64.9,5.8,No,No,52.2
STU0436,24,Female,14.4,68.2,52.0,44.5,61.8,8.5,Yes,No,43.0
STU0437,24,Male,16.6,82.0,39.9,62.8,59.4,7.9,Yes,Yes,54.5
STU0438,24,Female,11.5,61.7,26.8,45.5,54.1,9.5,Yes,No,33.3
STU0439,23,Male,0.4,67.2,35.2,48.7,69.8,5.9,Yes,No,48.3
STU0440,19,Male,14.2,65.8,57.0,77.0,89.8,6.5,Yes,Yes,68.1
STU0441,17,Male,23.5,90.3,57.1,67.3,67.1,7.3,Yes,Yes,57.8
STU0442,24,Male,20.6,87.6,60.8,72.8,79.9,7.8,Yes,Yes,76.0
STU0443,17,Female,20.8,77.3,46.2,43.9,44.1,6.7,No,No,56.8
STU0444,24,Male,22.4,89.3,65.2,65.1,67.4,5.9,Yes,No,63.8
STU0445,20,Male,15.5,79.2,49.2,55.6,48.5,8.1,Yes,No,49.2
STU0446,19,Female,16.2,73.5,41.7,36.9,42.8,7.9,Yes,No,59.5
STU0447,19,Male,11.3,64.4,42.4,48.8,53.9,5.8,Yes,Yes,40.1
STU0448,22,Female,13.1,58.7,53.6,60.9,82.9,8.8,Yes,Yes,57.2
STU0449,23,Female,18.7,83.4,51.4,68.5,79.3,8.5,No,Yes,60.0
STU0450,22,Female,22.2,71.9,61.3,70.0,68.6,7.2,Yes,Yes,70.7
STU0451,22,Male,14.2,76.3,23.4,49.2,42.0,7.1,No,Yes,42.4
STU0452,22,Female,12.3,71.4,48.6,63.8,62.1,7.7,Yes,Yes,53.9
STU0453,22,Female,15.0,81.9,37.0,54.2,69.5,5.9,Yes,No,48.1
STU0454,22,Male,18.6,78.1,52.6,62.5,67.6,7.0,Yes,No,57.4
STU0455,21,Male,6.3,64.3,16.1,37.4,37.3,4.2,Yes,No,25.6
STU0456,19,Female,1.2,67.2,26.6,33.3,51.6,8.1,No,No,33.3
STU0457,22,Female,11.7,75.5,40.0,61.7,64.0,5.0,No,No,42.6
STU0458,24,Female,7.7,71.0,26.1,71.7,73.0,9.0,Yes,Yes,45.1
STU0459,19,Female,12.0,76.9,31.1,41.0,32.1,6.6,Yes,No,47.1
STU0460,19,Female,14.1,63.2,38.0,56.3,62.6,6.7,Yes,No,46.9
STU0461,18,Male,12.3,79.6,49.3,58.4,67.1,6.2,No,Yes,45.1
STU0462,21,Male,23.7,91.0,60.8,67.6,77.7,6.6,Yes,Yes,67.7
STU0463,22,Male,17.0,70.5,54.5,49.4,75.4,8.8,Yes,No,55.5
STU0464,17,Female,16.8,76.5,42.8,57.9,73.7,3.8,Yes,Yes,44.6
STU0465,20,Male,18.7,80.3,39.9,45.9,53.0,8.7,Yes,No,51.4
STU0466,23,Female,8.2,67.9,21.1,50.4,36.4,7.4,Yes,No,34.9
STU0467,24,Female,21.2,86.0,57.0,60.6,59.1,5.4,Yes,Yes,67.8
STU0468,17,Female,14.5,87.5,,64.5,80.0,5.6,No,Yes,62.0
STU0469,21,Male,19.0,89.6,51.7,79.2,85.9,9.2,Yes,Yes,66.0
STU0470,20,Female,8.6,58.9,49.6,46.3,75.7,5.8,Yes,Yes,46.4
STU0471,21,Male,5.7,71.2,18.3,48.1,71.4,5.5,No,Yes,39.2
STU0472,24,Female,19.9,92.5,43.6,67.9,70.7,,Yes,No,64.5
STU0473,19,Male,17.3,82.1,36.6,64.0,56.7,7.4,No,Yes,51.5
STU0474,20,Male,9.6,79.3,26.4,57.7,63.0,5.8,Yes,No,47.0
STU0475,19,Female,9.8,86.9,35.6,70.1,90.0,7.3,Yes,Yes,63.4
STU0476,24,Male,21.8,92.1,50.8,60.1,50.9,5.7,No,No,48.4
STU0477,17,Male,7.9,70.6,43.8,65.5,89.2,8.4,Yes,Yes,57.2
STU0478,24,Female,24.9,95.7,58.2,67.9,60.2,8.4,Yes,Yes,55.4
STU0479,17,Female,9.6,71.7,51.5,54.9,84.9,7.7,Yes,No,62.6
STU0480,20,Female,18.8,80.9,43.2,52.1,43.9,7.5,Yes,No,53.2
STU0481,20,Female,13.0,71.5,51.1,51.7,73.8,9.3,Yes,Yes,50.8
STU0482,22,Female,18.6,93.0,,59.7,53.9,7.0,Yes,No,66.6
STU0483,21,Male,11.7,66.4,22.7,40.3,43.8,5.5,No,No,32.9
STU0484,22,Male,14.0,87.7,53.3,79.2,68.3,7.6,Yes,No,58.9
STU0485,21,Male,15.2,80.8,46.4,65.5,80.1,9.7,Yes,Yes,63.8
STU0486,22,Female,9.0,58.7,24.7,34.0,52.3,5.7,Yes,Yes,39.9
STU0487,19,Female,19.4,84.3,39.9,51.4,42.5,6.5,Yes,No,52.0
STU0488,20,Male,11.9,56.3,33.0,53.8,63.6,7.5,Yes,No,45.1
STU0489,17,Male,13.6,80.0,39.2,68.9,63.7,6.9,No,Yes,54.7
STU0490,21,Female,9.0,77.0,43.3,53.7,73.2,5.7,Yes,No,50.7
STU0491,24,Male,0.0,55.3,34.5,38.4,79.2,8.5,Yes,No,45.8
STU0492,21,Female,13.9,76.2,35.8,62.3,64.1,10.0,Yes,Yes,42.4
STU0493,17,Male,29.5,100.0,70.1,75.5,92.8,6.7,Yes,No,74.6
STU0494,22,Female,19.7,77.6,,59.4,68.4,5.8,Yes,Yes,68.7
STU0495,21,Male,14.9,67.9,46.5,51.4,59.8,5.0,Yes,No,44.2
STU0496,23,Female,13.4,86.6,49.7,47.9,40.8,7.3,No,No,43.1
STU0497,19,Female,15.1,92.3,52.8,64.8,61.1,8.4,Yes,No,57.3
STU0498,20,Female,18.3,80.1,56.0,53.7,60.0,7.6,Yes,Yes,52.8
STU0499,17,Female,7.9,76.8,30.6,58.0,79.4,7.0,Yes,Yes,43.6
STU0500,20,Female,21.7,94.6,62.0,69.5,71.9,6.2,Yes,Yes,66.5
STU0501,23,Female,19.3,75.3,42.6,53.2,47.3,5.6,Yes,Yes,50.8
STU0502,21,Male,19.3,77.4,46.8,62.5,67.6,8.1,Yes,Yes,59.0
STU0503,21,Female,17.6,89.2,53.4,70.2,75.1,8.2,Yes,No,63.2
STU0504,24,Female,15.1,90.1,61.6,77.4,87.9,5.0,Yes,Yes,68.2
STU0505,23,Male,19.0,,59.1,71.2,78.3,9.1,Yes,Yes,70.8
STU0506,17,Female,18.6,73.4,46.7,67.5,76.4,7.7,Yes,No,59.1
STU0507,24,Female,12.9,90.1,48.4,49.1,65.9,8.8,No,Yes,48.6
STU0508,19,Female,11.6,68.5,37.7,56.6,70.8,5.3,Yes,No,47.8
STU0509,24,Male,15.6,74.5,54.7,69.4,83.7,5.2,Yes,Yes,64.4
STU0510,18,Male,24.3,89.5,45.9,62.9,45.0,6.8,No,No,58.8
STU0511,17,Female,7.6,80.8,31.6,47.0,59.8,7.7,Yes,Yes,46.8
STU0512,18,Female,6.2,73.6,35.2,41.7,53.4,9.3,Yes,Yes,44.6
STU0513,23,Male,16.0,80.9,39.9,58.0,70.7,7.9,Yes,No,58.0
STU0514,22,Female,15.3,80.5,68.1,71.0,83.5,6.7,Yes,Yes,62.8
STU0515,18,Female,16.0,78.0,27.9,62.0,56.0,5.7,Yes,No,49.1
STU0516,19,Male,16.5,82.6,27.5,41.2,29.1,8.6,No,Yes,30.7
STU0517,24,Female,13.7,54.8,43.6,55.1,58.8,5.7,Yes,Yes,38.9
STU0518,22,Male,23.9,84.0,66.1,72.2,78.7,9.1,Yes,No,68.6
STU0519,24,Male,5.4,67.9,35.2,52.3,73.1,6.6,Yes,Yes,48.3
STU0520,18,Male,10.0,61.8,40.6,52.4,71.4,9.1,No,No,44.4
STU0521,24,Female,14.4,78.9,45.6,61.3,60.8,7.9,Yes,No,55.2
STU0522,23,Male,5.1,64.0,22.9,42.1,45.8,6.8,Yes,No,33.4
STU0523,22,Male,13.9,89.4,57.7,79.7,72.7,6.3,Yes,No,64.4
STU0524,23,Male,25.0,100.0,58.9,58.3,52.5,6.6,Yes,Yes,57.1
STU0525,18,Female,15.1,72.9,65.0,75.3,97.8,7.6,No,Yes,72.3
STU0526,23,Female,16.4,76.8,42.2,58.8,73.6,7.1,No,Yes,46.5
STU0527,19,Male,7.4,67.6,31.2,40.8,56.3,6.2,Yes,No,41.1
STU0528,18,Male,11.3,68.8,34.1,49.3,55.8,6.8,No,No,36.1
STU0529,18,Female,12.7,75.6,33.3,56.4,63.6,7.1,Yes,Yes,55.7
STU0530,18,Male,13.1,68.3,43.8,73.3,61.4,4.2,No,No,44.1
STU0531,17,Male,22.7,75.9,56.8,68.7,81.8,7.6,Yes,Yes,64.1
STU0532,24,Male,18.3,85.2,55.3,55.4,67.8,5.7,Yes,No,61.9
STU0533,17,Male,8.3,74.2,23.5,50.0,54.0,5.5,Yes,No,42.6
STU0534,17,Male,16.5,71.7,,55.7,93.4,4.8,Yes,No,64.2
STU0535,19,Male,18.0,87.0,41.6,61.9,65.7,4.7,Yes,No,49.6
STU0536,22,Male,21.8,79.0,59.7,67.9,76.5,5.2,Yes,Yes,56.2
STU0537,24,Female,24.5,89.0,59.3,68.2,55.9,6.1,Yes,Yes,63.5
STU0538,23,Male,8.9,76.4,34.8,63.2,70.4,9.5,Yes,Yes,51.0
STU0539,21,Female,10.1,70.9,47.4,51.9,69.7,6.3,Yes,Yes,56.3
STU0540,18,Female,7.5,71.8,14.1,38.1,36.7,7.2,Yes,Yes,37.7
STU0541,23,Male,13.6,70.8,66.7,63.7,95.2,7.5,No,No,61.7
STU0542,18,Female,17.8,78.0,56.1,60.7,84.4,7.2,Yes,No,54.7
STU0543,19,Male,20.9,81.4,45.0,62.2,59.0,6.9,Yes,No,66.3
STU0544,18,Female,14.5,70.0,35.2,39.5,48.5,5.4,Yes,Yes,42.9
STU0545,17,Male,13.1,73.0,50.9,55.1,70.2,8.9,No,No,52.5
STU0546,24,Male,15.9,65.1,41.7,49.1,66.3,9.3,Yes,No,44.5
STU0547,21,Male,10.0,67.1,34.6,58.5,70.3,4.8,Yes,Yes,50.6
STU0548,20,Female,27.5,88.0,59.8,82.4,67.9,5.1,No,No,54.3
STU0549,18,Male,5.4,63.8,26.3,42.9,72.6,6.6,No,No,41.4
STU0550,23,Female,16.1,75.8,69.4,55.1,86.7,5.7,Yes,Yes,61.5
STU0551,17,Male,27.1,89.4,58.8,71.5,73.5,7.1,Yes,No,67.9
STU0552,20,Female,15.0,80.4,45.2,51.8,49.3,6.1,Yes,No,53.4
STU0553,21,Male,13.9,82.2,53.2,69.2,85.4,9.8,No,Yes,51.3
STU0554,20,Female,12.9,68.9,44.0,62.5,89.6,8.5,Yes,No,54.2
STU0555,17,Male,13.9,65.7,57.3,68.7,100.0,7.3,Yes,No,66.8
STU0556,24,Male,23.2,77.2,54.6,58.1,48.1,,No,No,60.7
STU0557,24,Male,1.7,58.0,28.1,53.8,68.6,8.4,Yes,No,43.0
STU0558,22,Male,24.2,83.8,53.3,37.6,33.8,6.3,Yes,Yes,53.3
STU0559,24,Female,6.5,60.9,45.6,49.7,73.3,5.9,Yes,No,47.6
STU0560,22,Male,13.4,64.4,46.8,51.5,56.8,7.1,Yes,No,59.4
STU0561,20,Female,12.4,70.0,49.4,61.1,93.9,8.1,Yes,Yes,52.8
STU0562,19,Male,18.5,81.8,35.9,68.2,53.4,7.2,Yes,No,55.5
STU0563,23,Female,5.4,70.7,17.7,34.5,39.7,4.9,Yes,No,24.9
STU0564,23,Male,17.8,,47.0,55.7,57.9,6.0,Yes,No,39.7
STU0565,20,Male,27.1,86.6,52.4,58.4,35.4,6.3,No,Yes,52.5
STU0566,18,Female,6.8,60.1,21.7,49.5,76.3,6.9,Yes,No,46.0
STU0567,18,Male,16.1,77.5,33.7,31.8,34.0,9.6,No,Yes,34.4
STU0568,24,Male,11.0,65.3,41.2,49.7,65.4,5.2,Yes,Yes,47.6
STU0569,23,Female,17.6,83.9,33.3,54.4,33.8,7.7,No,Yes,60.2
STU0570,23,Female,15.1,,53.3,49.8,60.2,8.9,Yes,Yes,50.0
STU0571,22,Male,11.2,69.4,53.2,58.7,89.7,10.0,Yes,No,58.8
STU0572,19,Male,17.9,82.1,61.1,69.9,70.4,6.5,Yes,No,59.4
STU0573,17,Female,25.8,89.9,51.4,59.7,52.0,7.0,No,Yes,57.3
STU0574,18,Male,13.9,96.8,50.6,58.3,64.5,7.7,Yes,No,59.0
STU0575,23,Male,19.3,84.0,63.3,63.5,65.3,7.3,Yes,No,60.6
STU0576,22,Male,7.2,59.9,48.4,57.3,72.1,6.9,Yes,No,60.5
STU0577,21,Female,9.3,69.4,20.6,59.8,44.5,7.6,Yes,Yes,51.5
STU0578,22,Female,17.8,65.4,49.8,66.5,73.9,3.7,Yes,No,53.6
STU0579,18,Male,23.9,85.7,36.9,55.5,24.4,7.9,Yes,No,37.4
STU0580,18,Male,17.1,72.2,47.6,50.2,55.6,7.2,Yes,No,50.1
STU0581,22,Male,13.1,81.8,45.0,47.4,57.7,,Yes,Yes,66.5
STU0582,17,Female,15.0,72.1,41.8,61.4,74.5,9.7,Yes,Yes,53.8
STU0583,20,Male,7.5,67.3,36.1,51.7,65.3,6.1,Yes,No,52.4
STU0584,18,Male,18.6,75.4,24.7,42.7,43.9,6.5,Yes,No,50.7
STU0585,22,Female,20.3,96.2,57.0,58.1,50.2,9.6,Yes,No,58.3
STU0586,23,Male,12.3,70.9,38.5,58.8,68.0,5.9,Yes,No,46.7
STU0587,22,Female,12.2,88.1,41.2,60.9,63.8,6.3,Yes,Yes,44.3
STU0588,19,Male,16.6,84.8,40.8,60.4,56.3,6.8,Yes,No,58.0
STU0589,20,Male,12.4,77.5,47.8,55.1,57.8,8.1,Yes,No,48.8
STU0590,21,Male,14.6,79.0,25.7,59.3,75.4,7.3,Yes,Yes,56.6
STU0591,17,Female,27.6,93.5,57.3,62.8,57.2,4.7,Yes,No,53.6
STU0592,24,Female,13.5,59.4,41.5,43.6,63.7,6.3,Yes,No,44.9
STU0593,21,Female,12.8,71.9,51.5,82.4,97.5,6.2,Yes,Yes,66.6
STU0594,20,Male,11.1,79.0,45.2,46.4,43.6,,Yes,No,49.1
STU0595,20,Female,19.5,81.0,32.1,47.6,37.2,7.6,Yes,Yes,43.3
STU0596,20,Male,13.9,64.1,54.3,52.7,76.8,7.5,Yes,No,62.0
STU0597,21,Male,11.1,71.8,38.7,70.1,54.8,4.7,Yes,No,45.7
STU0598,23,Female,22.9,98.9,62.8,58.6,60.2,8.4,Yes,No,55.1
STU0599,20,Male,23.5,95.8,45.4,59.6,53.3,7.3,Yes,No,58.9
STU0600,22,Male,11.4,72.0,32.8,55.5,61.1,8.8,No,Yes,44.9
STU0447,19,Male,11.3,64.4,42.4,48.8,53.9,5.8,Yes,Yes,40.1
STU0405,24,Male,17.9,81.2,56.4,72.8,80.5,5.6,Yes,No,63.6
STU0510,18,Male,24.3,89.5,45.9,62.9,45.0,6.8,No,No,58.8
STU0456,19,Female,1.2,67.2,26.6,33.3,51.6,8.1,No,No,33.3
STU0202,24,Female,15.1,74.0,41.2,45.6,55.5,7.0,No,Yes,37.0
